company/brand,stage,amount,location,what_it_does,funded_year,investors,founded,sector,headquarter,founders,investor,column10
Doubtnut,Series B,30000000.0,,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.",2021.0,,2016.0,EdTech,Gurugram,"Aditya Shankar, Tanushree Nagori","Omidyar Network, Tencent Holdings",
GTM Buddy,Seed funding,2000000.0,,Just-in-time Sales Enablement Platform,2021.0,,2020.0,Computer Software,Hyderabad,"Sreedhar Peddineni, Santa Thounaojam, Sundar Vellaichamy, Chandramani Tiwary",Stellaris Venture Partners,
Koo,Series B,30000000.0,,Koo App operates as a microblogging app.,2021.0,,2020.0,Social Media,Bangalore,"Aprameya Radhakrishna, Mayank Bidawatka","Balaji Srinivasan, Naval Ravikant",
SimpliContract,Seed funding,1800000.0,,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.",2021.0,,2020.0,Software,Bangalore,"Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital,
Verzeo,Series A,5000000.0,"Bangalore, Karnataka, India",Verzeo is anAI-focussed edtech startup.,2018.0,Undisclosed,2018.0,Education,Bangalore,,,
Verzeo,Series A,5000000.0,"Bangalore, Karnataka, India",Verzeo is anAI-focussed edtech startup.,2018.0,Undisclosed,2018.0,Education,Bangalore,,,
Eduvanz,Seed funding,500000.0,"Mumbai, Maharashtra, India","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018.0,Undisclosed,2018.0,Financial Services,Mumbai,,,
MergerDomo,,500000.0,,MergerDomo is the one-stop Global OnLine M&A marketplace for Corporate and Business Growth,2021.0,,2018.0,Investment Banking,New Delhi,Hormazd Charna,Nadir B Godrej,
Power Gummies,,1000000.0,,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2021.0,,2018.0,Nutrition,New Delhi,Divij Bajaj,"Venture Catalysts, 9unicorns",
The ePlane,Seed funding,1000000.0,,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications",2021.0,,2016.0,Drone,Chennai,"Pranjal Mehta, Satyanarayanan Chakravarthy","Speciale Invest, Farid Ahsan",
MedCords,Seed funding,385439.1597426317,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Pune,,,
OckyPocky,Seed funding,1000000.0,,OckyPocky is India's 1st interactive English learning app for preschool kids.,2021.0,,2015.0,EdTech,Gurugram,Amit Agrawal,"Sujeet Kumar, SucSEED Indovation Fund",
ProfitWheel,Seed funding,3000000.0,,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,2021.0,,2020.0,Marketing & Advertising,Mumbai,"Vivek Bhargava, Gautam Mehra, Aman Khanna","Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",
Groww,Series D,83000000.0,,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,2021.0,,2017.0,FinTech,Bangalore,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",
Uable,Seed funding,1000000.0,,Uable offers role based programmes to empower children to explore different domains.,2021.0,,2020.0,EdTech,Bangalore,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",
Optimized Electrotech,Series A,1800000.0,,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",2021.0,,2017.0,Aeorspace,Ahmadabad,"Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,
Toothsi,Series B,20000000.0,,India’s first and largest at home smile makeover service using invisible aligners.,2021.0,,2018.0,Health,Mumbai,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale","Eight Roads Ventures, Think Investments, Mankekar Family Office",
Aqgromalin,Seed funding,700000.0,,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,2021.0,,2018.0,AgriTech,Chennai,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,
Dunzo,Series E,40000000.0,,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,2021.0,,2015.0,Delivery service,Bangalore,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund",
Grip Invest,Series A,3000000.0,,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.",2021.0,,2020.0,Financial Services,Gurugram,"Nikhil Aggarwal, Vivek Gulati","Venture Highway, Endiya Partners",
RenewBuy,Series C,45000000.0,,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,2021.0,,2015.0,Insuretech,Gurugram,"Balachander Sekhar, Sandeep Nanda","Lok Capital, IIFL Asset Management",
Vogo Rentals,Series A,1167997.4537655506,"Kormangala, Karnataka, India",Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,2018.0,Undisclosed,2018.0,Transportation & Logistics,Kormangala,,,
Heads Up For Tails,Series A,37000000.0,,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",2021.0,,2008.0,Pet care,New Delhi,Rashi Sanon,"Verlinvest, Sequoia Capital India",
EsportsXO,Seed funding,1100000.0,,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,2021.0,,2020.0,Mobile Games,Bangalore,"Utsav Umang, Rohit Raj, Vikas Goel",We Founder Circle,
Pariksha,,1800000.0,,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India",2021.0,,2015.0,EdTech,Pune,"Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",
