company/brand,stage,amount,location,what_it_does,funded_year,investors,founded,sector,headquarter,founders,investor,column10
TheCollegeFever,Seed funding,250000.0,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018.0,Undisclosed,2018.0,Media & Entertainment,Bangalore,,,
Happy Cow Dairy,Seed funding,583998.7268827753,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018.0,Undisclosed,2018.0,Agriculture,Mumbai,,,
MyLoanCare,Series A,948997.93118451,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,2018.0,Undisclosed,2018.0,Financial Services,Gurgaon,,,
PayMe India,Seed funding,2000000.0,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018.0,Undisclosed,2018.0,Financial Services,Noida,,,
Eunimart,Seed funding,566999.3634413877,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018.0,Undisclosed,2018.0,Retail,Hyderabad,,,
Hasura,Seed funding,1600000.0,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
Tripshelf,Seed funding,233599.49075311015,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,2018.0,Undisclosed,2018.0,IT & Technology,Kalkaji,,,
Hyperdata.IO,Seed funding,729998.4086034691,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,2018.0,Undisclosed,2018.0,Business Services,Hyderabad,,,
Freightwalla,Seed funding,566999.3634413877,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018.0,Undisclosed,2018.0,IT & Technology,Mumbai,,,
Microchip Payments,Seed funding,566999.3634413877,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,2018.0,Undisclosed,2018.0,Financial Services,Bangalore,,,
